Arable land,Paddy yield,Milled production,Rice exports,Fertilizer usage,Rice area,Paddy Production,Rice imports,Total rice consumption,GDP,Population
19700,4.25,33927.88,2.44,128.15,11963.2,50866.39,4671.22,38647.44,830,208615169
20500,4.4,34615.97,1.12,121.63,11793,51898,1338.99,36076.4,870,211513823
20200,4.39,33657.35,3.79,130.61,11500,50460.8,639.54,34915.04,834,214427417
20081,4.47,34343.63,3.89,123.96,11521.17,51489.7,1790.32,36170.44,1003,217357793
22406,4.54,34775.78,0.67,131.13,11477.36,52137.6,1613.42,36422.08,1187,220309469
24666,4.54,36077.01,0.89,131.21,11922.97,54088.47,388.43,36468.43,1281,223285676
22946,4.57,36118.78,42.28,143.99,11839.06,54151.1,188.94,36274.17,1404,226289470
21500,4.62,36321.44,0.94,158.02,11786.43,54454.94,455.85,36780.68,1765,229318262
22000,4.71,38124.01,1.19,181.46,12147.64,57157.44,1403.33,37695.09,2064,232374245
22700,4.89,40187.46,1.84,184.53,12309.16,60251.07,288.36,41305.22,2418,235469762
23600,5,42954.06,2.4,181.64,12883.58,64398.89,248.45,42696.21,2465,238620563
23600,5.02,44335.08,0.34,181.52,13253.45,66469.39,685.77,43907.99,3178,241834215
23500,4.98,43859.85,0.8,197.96,13203.64,65756.9,2745.28,44803.54,3689,245116206
23500,5.14,46060.44,0.82,205.44,13445.52,69056.13,1802.05,46361.47,3745,248452413
23500,5.15,47543.57,1.27,204.59,13835.25,71279.71,472.24,46874.91,3684,251806402
8837,1.6,9936.09,,12.92,9297.68,14896.69,347.5,11317.33,134,65531633
9133,1.57,10094.17,,19.94,9629.71,15133.68,681,10624.04,94,66625705
9131,1.81,11914.42,,19.93,9878.3,17862.7,396.26,10560.97,120,67637530
9131,1.73,11292.02,,14.14,9792.19,16929.57,94.4,11807.14,182,68742233
9144,1.85,12768.13,,23.56,10329.87,19142.62,281.92,11303.53,278,70066301
9138,1.78,11758.09,,26.63,9882.05,17628.32,417.21,12676.39,141,71652381
9131,1.94,12974.14,0.11,37.34,10027.65,19451.49,104.25,12374.59,131,73463584
9125,1.94,13061.3,0.02,39.04,10101.81,19582.16,317.86,12920.6,176,75450032
9118,1.88,12746.02,,44.68,10159.85,19109.47,37.46,13798.8,201,77529045
9121,2.02,13887.61,,45.68,10308.93,20821.01,548.09,13290.6,274,79639491
9109,1.95,13637.4,0,43.92,10460.92,20445.87,78.54,13880.75,260,81767515
9104,2.01,14223.54,19.99,50.67,10585.74,21324.64,263.67,14217.9,232,83932127
9089,2.23,14514.59,,59.79,9738.46,21761.01,317.35,14548.53,237,86142495
9185,2.15,14629.62,,63.34,10223.44,21933.46,166.51,14781.2,262,88416521
9152,2.17,15045.04,,59.08,10398.17,22556.29,677.32,14824.77,263,90764183
9161,2.18,15414.39,,67.3,10609.15,23110.03,52.98,16357.96,268,93187603
9235,2.24,15421.45,,76.43,10322.19,23120.62,259.68,16898.56,288,95671163
9537,2.28,15552.08,,81.42,10224.23,23316.46,673.93,16765.73,303,98186350
9553,2.56,17865.25,0,94.94,10478.19,26784.48,62.7,17023.46,325,100695497
9456,2.57,17860.86,,98.73,10435.34,26777.9,380.06,18681.27,329,103171956
9385,2.66,18170.41,,107.02,10244.5,27242,15.8,19172.63,332,105599127
8609,2.69,18257.79,,116.01,10178.42,27373,17.72,19123.48,324,107983704
8506,2.72,17960.98,0.02,111.17,9905.6,26928,20.86,18957.51,333,110350639
8408,2.53,16757.71,0.2,124.81,9919.3,25124,62.13,19231.31,354,112737683
8404,2.65,17608.13,0.06,142.19,9951.7,26399,984.32,19947.74,383,115169930
8357,2.76,18797.39,,147.25,10200,28182,1030.5,20357.98,394,117649932
8390,2.74,18777.38,0.06,132.21,10263,28152,178.87,20180.97,403,120160564
8454,2.94,19816.57,0.1,138.46,10119.84,29710,1123.18,21216.37,407,122682815
8436,3.21,22964.81,0.17,161.89,10712.96,34430,2215.32,23017.58,415,125189651
8350,3.48,25097.54,0.7,158.11,10801.21,37627.5,452.12,24421.28,412,127657854
8303,3.4,24191.42,1.5,174.59,10661,36269,152.13,25948.97,406,130088702
8253,3.49,25074.53,0.56,188.64,10771,37593,943.36,26416.13,420,132478086
8228,3.58,25587.07,0.35,160.27,10725.04,38361.42,1250.71,27221.54,454,134791603
8143,3.54,24169.4,0.36,170.67,10248.1,36235.98,991.44,27239.75,486,136986432
7911,3.78,26543.68,4.51,197.75,10524.07,39795.62,705.14,27084.57,495,139035505
7880,3.85,27195.59,16.11,193.19,10579,40773,577.06,27672.99,523,140921167
7816,4.08,28801.73,18.55,184.41,10575,43181,615.84,28847.96,585,142660376
7803,4.14,31176.91,8.46,200.06,11279.15,46742,838.71,29044.67,656,144304167
7796,4.24,32112.05,4.96,160.96,11353.53,48144,40.24,29225.69,728,145924797
7791,4.34,33390.82,3.86,183.19,11529,50061.2,679.6,29558.39,808,147575430
7678,4.39,33768.21,1.14,251.84,11528,50627,1310.87,29856.7,857,149273778
7670,4.42,33681.5,2.83,278.83,11423,50497,44.84,30163.5,916,151007807
7678,4.38,34350.5,3.65,208.66,11770,51500,260.26,30432.44,1030,152764676
5630,2.23,6968.15,6,51.1,4692.1,10447,690,7516.12,68,44484035
5650,2.19,7169.05,3,45.69,4900,10748.2,880,7709.83,71,45548479
5680,2.21,7420.38,2,43.73,5030,11125,850,7982.71,72,46603525
5700,2.16,7352.53,2,49.79,5111.92,11023.29,910,8181.67,76,47657561
